venue,avg_1st_score,median_1st_score,std_1st_score,win_rate_bat_first
"County Ground, Chelmsford",140.01307189542484,144.0,29.007643200268824,0.41013071895424835
"County Ground, Derby",145.39612188365652,142.0,24.547027120895784,0.34349030470914127
"County Ground, Hove",127.95,127.0,34.55055783979428,0.4393939393939394
"County Ground, New Road, Worcester",148.0,148.0,0.0,0.0
"County Ground, Northampton",160.7704918032787,177.0,16.53169390778935,1.0
"Daren Sammy National Cricket Stadium, Gros Islet",109.32157258064517,99.0,31.57168605874736,0.49899193548387094
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",165.11670124481327,180.0,37.57935552550705,0.46265560165975106
"Darren Sammy National Cricket Stadium, St Lucia",149.84350132625994,160.0,34.037438968551925,0.33156498673740054
De Beers Diamond Oval,194.0,194.0,0.0,1.0
Desert Springs Cricket Ground,159.25498007968127,139.0,20.539491841318807,0.4940239043824701
"Desert Springs Cricket Ground, Almeria",120.65005816207832,119.0,28.654032671216893,0.4716944552151997
"Diamond Oval, Kimberley",87.64963503649635,94.0,22.713882526434045,0.0
"Dr DY Patil Sports Academy, Mumbai",155.32952691680262,147.0,20.955969853200443,0.0
"Dr DY Patil Sports Academy, Navi Mumbai",190.48556430446195,195.0,23.923296870781925,0.6692913385826772
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,105.20675105485232,126.0,22.0133693197204,0.0
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",193.67611336032388,208.0,14.528369929214486,0.4939271255060729
Dreux Sport Cricket Club,143.4509582863585,142.0,17.520565687003774,0.4317925591882751
Dubai International Cricket Stadium,141.32455492657314,145.0,33.46127189006268,0.5092296332759045
Eden Gardens,142.6076099881094,145.0,28.995248200517526,0.28894173602853745
"Eden Gardens, Kolkata",168.62735849056602,184.0,21.137744125431716,0.5974842767295597
Eden Park,165.4901106268857,159.0,35.528318110313776,0.4388199798860208
"Eden Park, Auckland",177.04146341463414,174.0,33.60196862953273,0.3902439024390244
Edgbaston,165.6710144927536,167.0,33.052808173316045,1.0
"Edgbaston, Birmingham",141.95291064145346,160.0,39.00483601822223,0.5528364849833148
"Ekeberg Cricket Ground 1, Oslo",132.09030837004406,141.0,17.20396389952422,0.6784140969162996
"Ekeberg Cricket Ground 2, Oslo",64.0,64.0,0.0,0.0
Entebbe Cricket Oval,111.66109951287405,111.0,33.228479710981254,0.5147877522616562
Estonian National Cricket and Rugby Field,133.84083424807903,141.0,53.468876856263755,0.42041712403951703
Europa Sports Complex,135.5262237762238,148.0,34.28929163073395,0.4783216783216783
"FB Fields, St Clement",122.98151001540832,129.0,40.269036946582474,0.8089368258859785
"Faleata Oval No 2, Apia",150.47778537252222,168.0,32.223792392989154,0.51742993848257
Feroz Shah Kotla,123.2981199641898,120.0,24.327435690731352,0.22291853178155774
Forthill,96.73552983081034,99.0,19.42838332831647,0.6687444345503116
"GB Oval, Szodliget",171.2993710691824,178.0,47.81199743169575,0.5742138364779874
"GMHBA Stadium, South Geelong, Victoria",142.67967698519516,148.0,19.961275283576768,0.6635262449528937
Gaddafi Stadium,163.64032258064515,169.0,19.59345237329277,0.5306451612903226
"Gaddafi Stadium, Lahore",173.5362554112554,178.0,24.723501517396286,0.670995670995671
"Gahanga B Ground, Rwanda",97.66968325791855,96.0,30.769863532940466,0.5512820512820513
